ID,Sentence,Annotation_GCAM1,Annotation_GCAM2,Notes_GCAM1,Notes_GCAM2,Agreement
390,"The Biden administration is capping off the president’s recent trip to Michigan, focused largely on worker rights and transportation innovation, by handing out its first federal grant to dismantle a highway built to perpetuate racial discrimination.
",G10,G6,,,G10
119,"At the top is the federal government.
",G6,G9,,,G9
491,"Rep. Ilhan Omar has made government meals for children into one of her signature issues.
",G10,G6,,,G10
337,"That is to say, we have not consciously intended it.
",G9,G10,,,G9
690,"Although Dveri is a negligible force in national politics – the party won just 4% of the vote in this year’s election – a supermajority of parliamentary seats are held by right-leaning parties that have no electoral incentive to improve LGBTQ+ rights.
",G1,G6,"Not sure. As last time, adjectives and adverbs are a bit tricky. ",not sure,G1
621,"China had other strings to pull.
",G12,G9,,,"G9, G12"
233,"So now there is a movement—a movement within government, independent of the taxpayer—to rationalize the structure from the bottom up, each next higher stratum with an impulse to absorb the powers of the one below, or, where they cannot be absorbed, to divide them reasonably.
",G10,G1,,,G5
165,"But these are Federal expenditures, and they have much less to do with the rise in the cost of all government than you would suppose.
",G10,G2,,not sure,G2
382,"All three claims are being made about different highways right now in different parts of the country.
",G6,G1,,,"G6, G9"
222,"Bankers are loath to lend it any more money because investors are reluctant to buy any more of its bonds.
",G10,G1,,,G1
228,"This is notably so in the present.
","G5, G1",G9,"We talked  about this one last time. It's ambiguous. This is notably so in the present or This is, notably so, in the present. For the former I put G5, for the latter G1.",,G1
417,"Nationally, the percentage of teachers quitting soared to a record level in July 2020, but in the past year, the ""quit rate"" has dropped and not all states or districts have shortages.
",G5,G10,,,G5
73,"Chart D shows that vaccinated children who had previously been infected with Covid-19 were proving to have zero immunity against reinfection with the Delta variant, and the same decline was beginning to be seen against reinfection with the Omicron variant.
",G6,G10,,,G6
289,"It is well known that a cow milked by a few expert hands in a regular manner will give more milk than the same cow milked in a haphazard manner by the neighborhood.
",G10,G2,,might be G5 with context,G5
215,"One of the American Government’s wartime powers was the War Finance Corporation.
",G10,G6,,,G6
201,"That when prices are too low—prices taken all together—it becomes a function of government to manipulate them back to where they belong.
",G10,G1,,,G1
66,"Then Brexit appeared on the horizon, and for some time rich international buyers avoided London out of fear of complications that might arise from being outside the EU.
",G12,"G5, G1",,,"G1, G5"
20,"This could cause more companies to ship goods by truck, which in turn could lead to a downward spiral in the rail industry with further cuts to an already beleaguered workforce.
",G9,"G1, G5",,"G5 for ""downward spiral"" but I'm not sure",G5
1,"Though not all details have been released, it appears that the rail unions made limited but meaningful gains on some key issues, while holding the line on others.
",G9,G1,,,G9
360,"This will be the third fall with COVID-19, and while infections and deaths still remain elevated, much of society has returned to a semi-normal state, with children heading back to school and offices bustling with workers.
",G6,G10,,,G6
602,"Unable to apply for additional loans itself, it suggested the employees themselves take out loans, which the company pledged to repay.
",G6,G10,,not sure,G10
11,"Importantly, this development is happening both among unionised workers and unorganised workers forming unions.
",G6,G10,,,G6
406,"During remote learning, some students' mental health deteriorated, causing many to act out when they returned to school.
",G10,G6,,,G6
373,"It looks “freeway close” to a lot of destinations like LAX, DTLA, the Port, Century City, etc.
",G6,G1,,,G6
5,"While that may sound like a lot, that figure is less than 3.5 percent of their massive annual profits.
",G9,G1,,,G9
479,"I covered this story back in the winter, relying on the important work of local reporters like Bill Glahn at the American Experiment.
",G1,G10,,,G1
