ID,Sentence,Annotation,Notes
444,"Why are teachers unhappy?
",G9,
251,"The per capita cost of all government has increased as follows:  |In 1880 it was||$13.56|  |In 1903 it was||$19.39|  |In 1913 it was||$30.24|  |In 1923 it was||$88.94|  |In 1929 it was||$107.37|  In 1932 it will be, approximately $124.00
",G6,
506,"“Normally, the majority opinion would speak for itself.”  The decision is “really about policy—our state has values of inclusion and diversity.”  The ruling is based “on policy, which is the definition of judicial activism.
",G8,
390,"The Biden administration is capping off the president’s recent trip to Michigan, focused largely on worker rights and transportation innovation, by handing out its first federal grant to dismantle a highway built to perpetuate racial discrimination.
",G6,
119,"At the top is the federal government.
",G9,
491,"Rep. Ilhan Omar has made government meals for children into one of her signature issues.
",G6,
675,"“After EuroPride went to Warsaw in 2010 and Riga in 2015, Belgrade seemed like a natural next step in terms of being political and complicated.”
",G8,
337,"That is to say, we have not consciously intended it.
",G10,
690,"Although Dveri is a negligible force in national politics – the party won just 4% of the vote in this year’s election – a supermajority of parliamentary seats are held by right-leaning parties that have no electoral incentive to improve LGBTQ+ rights.
",G6,not sure
621,"China had other strings to pull.
",G9,
448,"But educators say that teaching is a profession that requires training and experience, so lowering the bar will only diminish the quality of the classroom instruction children receive.
",G8,not sure
233,"So now there is a movement—a movement within government, independent of the taxpayer—to rationalize the structure from the bottom up, each next higher stratum with an impulse to absorb the powers of the one below, or, where they cannot be absorbed, to divide them reasonably.
",G1,
165,"But these are Federal expenditures, and they have much less to do with the rise in the cost of all government than you would suppose.
",G2,not sure
382,"All three claims are being made about different highways right now in different parts of the country.
",G1,
222,"Bankers are loath to lend it any more money because investors are reluctant to buy any more of its bonds.
",G1,
228,"This is notably so in the present.
",G9,
417,"Nationally, the percentage of teachers quitting soared to a record level in July 2020, but in the past year, the ""quit rate"" has dropped and not all states or districts have shortages.
",G10,
73,"Chart D shows that vaccinated children who had previously been infected with Covid-19 were proving to have zero immunity against reinfection with the Delta variant, and the same decline was beginning to be seen against reinfection with the Omicron variant.
",G10,
289,"It is well known that a cow milked by a few expert hands in a regular manner will give more milk than the same cow milked in a haphazard manner by the neighborhood.
",G2,might be G5 with context
522,"“The revelation of discovery of any of the following may be treated as cause for further inquiry before the Board of Bar Examiners determines whether the applicant possesses the character and fitness to practice law…”
",G8,
215,"One of the American Government’s wartime powers was the War Finance Corporation.
",G6,
363,"The administration also warned that it would be unable to provide enough tests, vaccines, and treatments without more funding.
",G8,
173,"Nobody knows what lies in the future.
",G9,
201,"That when prices are too low—prices taken all together—it becomes a function of government to manipulate them back to where they belong.
",G1,
729,"Is this a warning of what’s to come?
",G9,
403,"In districts where more than 75 percent of the student body is nonwhite, about 10 percent of teachers resigned or retired last year.
",G6,
457,"In Florida, some military veterans are now eligible for temporary teaching certificates even if they haven't completed a bachelor's degree.
",G6,
66,"Then Brexit appeared on the horizon, and for some time rich international buyers avoided London out of fear of complications that might arise from being outside the EU.
","G5, G1",
20,"This could cause more companies to ship goods by truck, which in turn could lead to a downward spiral in the rail industry with further cuts to an already beleaguered workforce.
","G1, G5","G5 for ""downward spiral"" but I'm not sure"
380,"If it goes along the edge of a black neighborhood, it separates it from nearby white communities.
",G10,
279,"What should or should not be is a question that belongs to argument.
",G9,
1,"Though not all details have been released, it appears that the rail unions made limited but meaningful gains on some key issues, while holding the line on others.
",G1,
598,"To plug budgetary holes, 80 out of 111 cities tracked by Southern Weekly, a mainland newspaper, increased the amount they collected in fines last year.
",G6,
360,"This will be the third fall with COVID-19, and while infections and deaths still remain elevated, much of society has returned to a semi-normal state, with children heading back to school and offices bustling with workers.
",G10,
602,"Unable to apply for additional loans itself, it suggested the employees themselves take out loans, which the company pledged to repay.
",G10,not sure
419,"At the same time, the struggle to make up for pandemic learning loss increased teachers' workloads, and led to mounting pressure from increasingly antagonistic parents and micromanaging administrators.
",G1,
11,"Importantly, this development is happening both among unionised workers and unorganised workers forming unions.
",G10,
404,"That's up from 6.5 percent in 2019 and double the rate of districts where 90 percent or more of the students are white.
",G6,
406,"During remote learning, some students' mental health deteriorated, causing many to act out when they returned to school.
",G6,
717,"The regulator says lab and animal studies, and evidence from a human case of this family of viruses, suggest monkeypox has “several genetic pathways” to evolve resistance to tecovirimat.
",G8,
504,"The New Mexico document states that a “License to practice law shall not be denied based solely on the applicant’s citizenship or immigration status.”  At the same time, the “Character and fitness standards and investigation” section that a law license applicant “bears the burden of proving good character in support of the application.”
",G8,
373,"It looks “freeway close” to a lot of destinations like LAX, DTLA, the Port, Century City, etc.
",G1,
5,"While that may sound like a lot, that figure is less than 3.5 percent of their massive annual profits.
",G1,
501,"“Our reference was to states that provide or have improved attorney licenses for immigrant populations, such as DACA recipients, legal immigrants and/or unauthorized immigrants,” Massey said by email.
",G8,
38,"Trucking and shipping companies have been slowly recovering from supply chain issues caused by Covid-19, but things have gotten worse in rail.
",G1,
394,"Projections further indicate that the rate will be 4.4 percent by the end of 2023, the Post continues.
",G8,
479,"I covered this story back in the winter, relying on the important work of local reporters like Bill Glahn at the American Experiment.
",G10,
424,"""Every minute I wasn't with the kids, personally, I was beyond treading water with my mental health,"" said Bethany Collins, who quit in January after eight years as a Los Angeles-area middle school teacher.
",G8,
374,"Transportation Secretary Pete Buttigieg confirmed to The Associated Press on Thursday that $104.6 million in federal funds coming from last year’s bipartisan infrastructure bill will go toward a plan to dismantle Interstate 375, a highway built to bisect Detroit’s Black Bottom neighborhood and its epicenter of Black business, Paradise Valley.
",G6,
676,"Civil partnerships that give same-sex couples the same rights as married ones, for example, remain nonexistent.
",G1,not sure
243,"We imagine today that everything is done by the aggregate without the will to act of any of the individuals composing the aggregate.
",G1,
581,"Our system of unbridled profit-focused capitalism used to serve as perhaps the most important of those sanctuaries, but no longer.
","G5, G1",
155,"There is yet everywhere a deficit in the public revenue because the shrinkage in everything taxable was so sudden and violent.
",G1,
291,"It is my hope that the Congress, which has seen fit to provide $2 billion to protect the banking interests of the United States, will see the necessity of passing this legislation to protect the old people.
",G3,
116,"Observe that in time of prosperity government is bound to extend itself because revenues are plenty and there is always a purblind demand for special benefits to be conferred by public credit.
",G1,
643,"Local governments and their financing vehicles, which led the stimulus efforts in 2008, are not now so bold.
",G1,
260,"A total ruin of the public credit would be a disaster in fact.
",G1,
489,"There are some frauds so massively insane that Americans won’t do them.
","G1, G2",
150,"Now the oldest object of his animosity—namely, the political boss—has annexed the idea.
",G2,
535,"Of course, illegal aliens by definition are guilty of unlawful conduct and it is hard to imagine them going about their daily business without committing acts involving dishonesty, fraud, deceit, or misrepresentation.
",G2,
179,"First by habit one thinks of those for which we have traditional images: The machine, the boss, the pork barrel, the spoils system, the politician everywhere in his popular character, acquiring merit and power by spending public money; doing things for his people with the money of other people, taking care at the same time to do enough for himself with everybody’s money.
","G2, G5",
217,"Thus, in bad times like these, the proportion of the total national income absorbed by government will rise in a special manner.
",G1,
246,"If the natural level of economic recovery were long delayed, then all these measures would very soon fail in the total ruin of public credit.
",G1,
